rule_id,if_variable,operator,value,recommendation,urgency,facility,source,page
1,vaginal_bleeding,==,TRUE,immediate_referral,Emergency,Referral Hospital,Digital ANC Who guidelines,65
2,unconscious,==,TRUE,immediate_referral,Emergency,Referral Hospital,Digital ANC Who guidelines,65
3,convulsing,==,TRUE,immediate_referral,Emergency,Referral Hospital,Digital ANC Who guidelines,65
4,severe_abdominal_pain,==,TRUE,immediate_referral,Emergency,Referral Hospital,Digital ANC Who guidelines,65
5,looks_very_ill,==,TRUE,urgent_referral,Urgent,Referral Hospital,Digital ANC Who guidelines,65
6,severe_headache,==,TRUE,urgent_referral,Urgent,Referral Hospital,Digital ANC Who guidelines,65
7,blurred_vision,==,TRUE,urgent_referral,Urgent,Referral Hospital,Digital ANC Who guidelines,65
8,difficulty_breathing,==,TRUE,immediate_referral,Emergency,Referral Hospital,Digital ANC Who guidelines,65
9,fever,==,TRUE,urgent_referral,Urgent,Referral Hospital,Digital ANC Who guidelines,65
10,severe_vomiting,==,TRUE,urgent_referral,Urgent,Referral Hospital,Digital ANC Who guidelines,65
11,imminent_delivery,==,TRUE,immediate_referral,Emergency,Referral Hospital,Digital ANC Who guidelines,65
12,labour,==,TRUE,immediate_referral,Emergency,Referral Hospital,Digital ANC Who guidelines,65
13,systolic_bp,>=,140,urgent_referral,Urgent,Referral Hospital,Digital ANC Who guidelines,61
14,diastolic_bp,>=,90,urgent_referral,Urgent,Referral Hospital,Digital ANC Who guidelines,62
15,protein_in_urine,==,++,urgent_referral,Urgent,Referral Hospital,Digital ANC Who guidelines,61
16,haemoglobin_level,<,7,immediate_referral,Emergency,Health Facility,NDHS2022,235
17,fetal_movements,==,reduced,monitor,Within_24h,Health Post,WHO recommendations on maternal health,469
18,leaking_fluid,==,TRUE,urgent_referral,Urgent,Referral Hospital,A Report on Maternal Mortality,29
19,phq_9_score,>=,10,urgent_referral,Urgent,Referral Hospital,NDHS2022,368
20,suicidal_ideation,==,TRUE,immediate_referral,Emergency,Referral Hospital,NDHS2022,368
21,postpartum_haemorrhage,==,TRUE,immediate_referral,Emergency,Referral Hospital,SMNH Roadmap 2030,467
22,maternal_infection,==,TRUE,immediate_referral,Emergency,Referral Hospital,SMNH Roadmap 2030,467
23,shock,==,TRUE,immediate_referral,Emergency,Referral Hospital,SMNH Roadmap 2030,467
24,newborn_convulsions,==,TRUE,urgent_referral,Urgent,Referral Hospital,WHO recommendations on maternal health,529
25,newborn_not_feeding,==,TRUE,urgent_referral,Urgent,Referral Hospital,WHO recommendations on maternal health,529
26,gestational_age,<,12_weeks,schedule_anc,Routine,Health Post,SMNH Roadmap 2030,423
